Symbol,Date,Open,High,Low,Close,Volume
KSE-ALL,09-Mar-2020,25878.94,25878.94,25303.66,25875.06,307960340
KSE-ALL,10-Mar-2020,25688.81,26210.06,25688.81,26184.13,274483510
KSE-ALL,11-Mar-2020,26331.02,26562.31,26059.81,26127.67,217634300
KSE-ALL,12-Mar-2020,25854.75,25900.29,25245.98,25310.97,230698940
KSE-ALL,13-Mar-2020,25021.32,25365.77,24473.01,25291.96,290470770
KSE-ALL,16-Mar-2020,25128.39,25128.39,23788.02,23867.22,215437490
KSE-ALL,17-Mar-2020,23734.60,24011.67,23150.27,23248.34,240379240
KSE-ALL,18-Mar-2020,23032.11,23032.11,21949.74,21968.43,186654400
KSE-ALL,19-Mar-2020,21131.72,21907.21,20897.14,21685.43,308346095
KSE-ALL,20-Mar-2020,22068.31,22192.35,21500.87,22106.41,244998438
KSE-ALL,24-Mar-2020,21151.36,21230.08,20728.68,20895.25,98754997
KSE-ALL,25-Mar-2020,20989.24,21042.74,20100.82,20131.87,144876369
KSE-ALL,26-Mar-2020,20057.68,20637.44,19943.46,20043.89,186700670
KSE-ALL,27-Mar-2020,20047.75,20573.22,19963.51,20485.23,169392826
KSE-ALL,30-Mar-2020,20410.85,20455.21,20175.63,20322.54,159445326
KSE-ALL,31-Mar-2020,20366.16,21068.04,20349.67,21037.82,221834742
KSE-ALL,01-Apr-2020,21042.17,21334.13,20911.43,21216.41,193468949
KSE-ALL,02-Apr-2020,21262.80,22033.73,21220.05,21989.20,311404875
KSE-ALL,03-Apr-2020,22291.95,22658.09,22266.84,22515.59,251748393
KSE-ALL,06-Apr-2020,22723.86,22723.86,21906.72,22022.22,233135738
KSE-ALL,07-Apr-2020,22074.57,22497.37,22073.05,22446.92,172627586
KSE-ALL,08-Apr-2020,22431.00,22432.97,22091.85,22192.53,180760392
KSE-ALL,09-Apr-2020,22347.31,22779.63,22347.31,22647.97,216318732
